	Organization		Sponsorship Category		Years		Allocation																						
	Black Recruitment and Retention Center		SAG		37		Sponsorship Only																						
	Board Games at Berkeley		SAG		3		$500																						
	Bold Venture Partners		SAG		1		$400																						
	Brazilian Student Association at Berkeley		SAG		1		$400																						
	bridges Multicultural Resource Center		SAG		23		Sponsorship Only																						
	BridgeUSA at Berkeley		SAG		3		$500																						
	BSCF		SAG		1		$400																						
	Burma Association at Berkeley		SAG		1		$395																						
	Business Careers in Entertainment Club		SAG		6		"$1,440"																						
	Business Review at Berkeley		SAG		2		$400																						
	Cal Actuarial League		SAG		15		$400																						
	Cal American Civil Liberties Union		SAG		3		$457																						
	Cal American Institute of Aeronautics and Astronautics		SAG		3		Sponsorship Only																						
	Cal Berkeley Democrats		SAG		22		"$4,400"																						
	Cal Bhangra		SAG		6		"$3,500"																						
	Cal Black Student Union		SAG		10		"$25,500"																						
	Cal Dragon Boat		SAG		16		"$6,200"																						
	Cal Hawai'i Club		SAG		31		"$2,675"																						
	Cal Hiking and Outdoor Society		SAG		71		"$5,000"																						
	Cal in the Capital		SAG		42		"$3,500"																						
	Cal Japan Club		SAG		12		"$2,000"																						
	Cal Performances Student Ambassadors for the Arts		SAG		6		$470																						
	Cal Pre-Vet Club		SAG		10		$200																						
	Cal Queer and Asian		SAG		10		"$2,000"																						
	Cal Taiko		SAG		15		"$3,500"																						
	Cal Undergraduate Public Health Coalition		SAG		15		$206																						
	California Mock Trial		SAG		19		"$20,000"																						
	California Public Interest Research Group		SAG		14		$500																						
	CalSlam		SAG		15		"$1,800"																						
	Catholic Students at Cal - Newman Hall		SAG		8		$500																						
	Celli@Berkeley		SAG		1		$190																						
	Chicanx/Latinx Architecture Student Association		SAG		1		Sponsorship Only																						
	Chinese A Cappella at Berkeley		SAG		6		$500																						
	Chinese Debate at Berkeley		SAG		1		$400																						
	Chinese Finance Club		SAG		1		$400																						
	Chinese People Union		SAG		15		$500																						
	Chinese Psychology Group at Berkeley		SAG		2		$400																						
	Chinese Student Association		SAG		30		"$7,000"																						
	ChunJinAhm		SAG		1		$400																						
	Cinebears		SAG		1		$250																						
	Circle K International		SAG		25		"$6,000"																						
	Citizen Entrepreneur Network at Berkeley		SAG		1		$100																						
	CMG Strategy Consulting (Formerly Creative Marketing Group)		SAG		3		$500																						
	Coalition to Defend Affirmative Action By Any Means Necessary		SAG		21		"$5,000"																						
	CodeBase		SAG		3		Sponsorship Only																						
	Codeology		SAG		3		$500																						
	Collegiate 100 (formerly 100 College Black Men)		SAG		1		$400																						
	Committee for Korea Studies		SAG		15		"$2,000"																						
	Computer Science Undergraduate Association		SAG		46		"$2,400"																						
	Consult Your Community (CYC) at Berkeley		SAG		7		"$2,000"																						
	Create at Berkeley		SAG		1		$400																						
	Creative Applications to Life in Origami		SAG		8		$45																						
	Cricket Club of Berkeley		SAG		1		$400																						
	Crossroads Christian Fellowship: Chinese for Christ Berkeley Church		SAG		1		$400																						
	CS KickStart		SAG		7		"$2,000"																						
	Curling Club at Berkeley		SAG		7		$600																						
	Dance Board of Berkeley Dance Community		SAG		3		Sponsorship Only																						
	Danceworx		SAG		23		"$5,000"																						
	Data Science Society at Berkeley		SAG		3		$500																						
	Datong Society of China Studies at Berkeley		SAG		3		$500																						
	Debate Society of Berkeley		SAG		7		"$2,500"																						
	DeCadence		SAG		19		"$1,500"																						
	Delta Kappa Alpha		SAG		2		$400																						
	Delta Phi Epsilon Co-ed Professional Foreign Service Fraternity		SAG		16		$500																						
	Delta Xi Phi Multicultural Sorority Inc.		SAG		3		$500																						
	Department of Integrative Biology Students		SAG		4		$50																						
	Dil Se		SAG		4		$300																						
	Disney Club at Berkeley		SAG		2		$400																						
	DiversaTech		SAG		3		$500																						
	Drawn to Scale		SAG		9		$550																						
	Earthquake Engineering Research Institute at Berkeley		SAG		1		Sponsorship Only																						
	East Asian Union		SAG		10		"$2,950"																						
	Education Practitioners and Innovators of China at Berkeley		SAG		1		$400																						
	Eggster Organization		SAG		19		$70																						
	EGO (Cal's Traditional Korean Percussion Group)		SAG		9		"$1,300"																						
	Enactus of Berkeley (formely SIFE)		SAG		4		$500																						
	Engineering Student Council		SAG		28		"$84,330"																						
	Engineers For A Sustainable World - Berkeley		SAG		1		$400																						
	Entrepreneurs @ Berkeley		SAG		2		$400																						
	EPOCH		SAG		1		Sponsorship Only																						
	Epsilon Eta		SAG		3		$500																						
	EXP Dance		SAG		3		$500																						
	Exposure-Organization of Student Photographers		SAG		1		$400																						
