	Organization		Sponsorship Category		Years		Allocation																						
	Migrant Advocacy Project		SISG		2		$500																						
	MOVE: API Community Organizing Fellowship		SISG		3		$600																						
	Multi-Cultural Greek Council		SISG		4		Sponsorship Only																						
	National Council of Negro Women		SISG		13		"$2,250"																						
	Oakland Asian Student Educational Services		SISG		17		"$5,000"																						
	"Omega Phi Beta Sorority, Incorporated"		SISG		7		"$1,000"																						
	Patient Advocacy Student Group		SISG		8		"$3,000"																						
	People's Test Preparation Service		SISG		23		"$6,258"																						
	Pilipinx Academic Student Services		SISG		35		Sponsorship Only																						
	Project Vision		SISG		12		$900																						
	"Project RISHI, The Berkeley Chapter"		SISG		12		"$1,100"																						
	Project SCIFI		SISG		3		$600																						
	Project Spreading Multiculturalism and Inspiring Leadership through Education		SISG		11		"$4,000"																						
	Public Service Internships		SISG		1		$500																						
	Queer Alliance & Resource Center		SISG		51		"$40,000"																						
	Raices Recruitment and Retention Center		SISG		42		Sponsorship Only																						
	REACH! Asian Pacific American Recruitment and Retention Center		SISG		23		Sponsorship Only																						
	Renters' Legal Assistance		SISG		37		$650																						
	Rising Immigrant Scholars through Education		SISG		11		"$8,000"																						
	"Sigma Pi Alpha Sorority, Inc."		SISG		10		"$1,000"																						
	Southeast Asian Mentorship		SISG		11		"$1,200"																						
	Southeast Asian Prison Outreach Project		SISG		9		$850																						
	Southeast Asian Student Coalition		SISG		13		"$10,000"																						
	Spectrum: Autism at Cal		SISG		9		$600																						
	Student Parent Association for Recruitment and Retention		SISG		1		Sponsorship Only																						
	Student Parent Food Donations Program		SISG		2		Sponsorship Only																						
	Student to Student Peer Counseling		SISG		27		$820																						
	Suitcase Clinic		SISG		21		"$12,000"																						
	"Support, ENcourage and Develop for Children of Berkeley"		SISG		3		$600																						
	T-Cal		SISG		1		$116																						
	Teach in Prison		SISG		10		"$3,440"																						
	Team HBV		SISG		13		$650																						
	The Berkeley Group		SISG		17		"$3,000"																						
	The Berkeley Project		SISG		13		"$1,280"																						
	The Coalition for the Institutionalization of Free Menstrual Products		SISG		1		Sponsorship Only																						
	The Music Connection		SISG		3		$500																						
	The PERIOD Project at Berkeley		SISG		1		$500																						
	The Sage Mentorship Project		SISG		7		$800																						
	Theater for Charity		SISG		16		"$1,600"																						
	Thrive Aspire Lead (formerly known as True Asian Leaders)		SISG		3		$450																						
	Together Educating All Children in Hospitals		SISG		1		$500																						
	TRENZA		SISG		8		"$2,500"																						
	UNICEF at Berkeley		SISG		17		$80																						
	V-Day at Cal		SISG		4		$600																						
	VIDA Medical Volunteering at Berkeley		SISG		3		$600																						
	Vietnamese Student Association		SISG		28		"$8,000"																						
	Volunteer Health Interpreters Organization		SISG		14		"$4,500"																						
	Volunteer Income Tax Association Program		SISG		7		$600																						
	Volunteers Around the World at Berkeley		SISG		6		$200																						
	Volunteers for Medical Outreach		SISG		6		"$2,200"																						
	Wonderworks		SISG		9		Sponsorship Only																						
	You Mean More		SISG		8		"$1,500"																						
	Youth Empowerment Program		SISG		6		"$1,850"																						
	Youth Support Program		SISG		24		$800																						
	SISG Total						"$246,020"																						
	STUDENT ORGANIZATION CONTINGENCY FUND		FUND				"$93,542"
	Academic Opportunity Fund		GRNT				"$20,000"																						
	Arts and Creativity Grant		GRNT				"$5,000"																						
	Greek Opportunity Fund		GRNT				"$2,000"																						
	Intellectual Community Grant		GRNT				"$2,000"																						
	Multicultural Grant		GRNT				"$4,000"																						
	Outstanding Student Recognition Scholarship		SCLR				"$1,000"																						
	Public Service Grant		GRNT				"$3,000"																						
	RISE Scholarship		SCLR				"$7,500"																						
	Student Commuter Grant		GRNT				"$1,400"																						
	Student Organization Travel Grant		GRNT				"$2,000"																						
	Textbook Scholarship		SCLR				"$5,000"																						
	Underserved and Undocumented Fall Program for Freshmen (FPF) Scholarship		SCLR				"$4,000"																						
	Underserved Student Equity Grant		GRNT				"$1,000"
	Chief-of-Staff Stipend		OP				"$2,000"																						
	President Discretionary Fund		OP				"$5,000"																						
	President Stipend		OP				"$4,000"
	Chief-of-Staff Stipend		EVP				"$2,000"																						
	EVP Discretionary Fund		EVP				"$3,000"																						
	EVP Spaces Director Stipend		EVP				"$2,000"																						
	EVP Stipend		EVP				"$4,000"
	Campus Organizing Director Stipend		EAVP				"$1,000"																						
	Chief-of-Staff Stipend		EAVP				"$2,000"																						
	EAVP Discretionary Fund		EAVP				"$13,000"																						
	EAVP Stipend		EAVP				"$4,000"																						
	Legislative Affairs Director Stipend		EAVP				"$1,000"																						
	Legislative Conference		EAVP				"$12,000"																						
	Lobby Corps		EAVP				"$20,000"																						
	UC Student Association Dues		EAVP				"$51,435"
	AAVP Discretionary Fund		AAVP				"$3,500"																						
	AAVP Stipend		AAVP				"$4,000"																						
	Chief-of-Staff Stipend		AAVP				"$2,000"
	Chiefs-of-Staff Stipend		SAO				"$3,000"																						
	SAO Discretionary Fund		SAO				"$2,500"																						
	SAO Stipend		SAO				"$4,000"
	ASUC Bootcamp		SEN				$500																						
	ASUC Conference		SEN				"$3,000"																						
	Senate Leadership Institute / Senate Meetings		SEN				"$5,000"																						
	Senators' Discretionary Funds ($500.00 each)		SEN				"$10,000"																						
	Senators' Stipend ($500.00 each)		SEN				"$10,000"
	2 Student Union Board of Directors Stipend ($100 each)		AOFR				$200																						
	Chief Appointed Officials Support Staff Stipend 		AOFR				"$2,500"																						
	Chief Communication Officer Stipend		AOFR				"$2,000"																						
	Chief Financial Officer Stipend		AOFR				"$2,000"																						
	Chief Legal Officer Stipend		AOFR				"$2,000"																						
	Chief Personnel Officer Stipend		AOFR				"$2,000"																						
	Chief Technology Officer Stipend		AOFR				"$2,000"																						
	Judicial Council Office		AOFR				$500																						
	Livestream Coordinator Stipend		AOFR				$500																						
	Marketing and Communications Office (Discretionary)		AOFR				"$5,500"																						
	Public Defender Stipend		AOFR				$150																						
	2 Undergraduate Representative - Student Union Board of Directors Stipend ($200 each)		AOFR				$400
	Archives		OPRS				$0																						
	ASUC Administrative Office		OPRS				"$67,000"																						
	ASUC End of Year Banquet		OPRS				"$3,000"																						
	Audit		OPRS				"$22,000"																						
	Bank Fee		OPRS				"$1,000"																						
	Big Ideas		OPRS				"$13,000"																						
	Capital Improvement Fund Allocation		OPRS				"$61,655"																						
	Emergency Legal Defense Fund		OPRS				"$110,961"																						
	Legal Fee		OPRS				"$32,000"																						
	Long Term Investment		OPRS				$184
	Elections Council - 1 Tech Coordinator Stipend		ELCT				$250																						
	Elections Council - 2 Auditors Stipend ($150.00 each)		ELCT				$300																						
	Elections Council - Assistant Chair Stipend		ELCT				$300																						
	Elections Council - Chair Stipend		ELCT				"$1,000"																						
	Elections Council - Chief Auditor Stipend		ELCT				$350																						
	Elections Council - Prosecutor Stipend		ELCT				$300																						
	Elections Operations		ELCT				"$6,200"
	D&O Insurance		GEN				"$4,000"																						
	GL Insurance		GEN				"$24,000"
